Designator,Mid X,Mid Y,Layer,Rotation
C1,50.5,19.2,top,45
C10,20.4,24.19,top,0
C11,51.9,20.6,top,225
C2,8.9,27,top,0
C3,14.7,11.9,top,0
C4,51,21.5,top,225
C5,2.7,9.2,top,180
C6,19.3,9.4,top,270
C7,25,9.475,top,270
C8,16.6,12.5,top,270
C9,9.4,11.4,top,0
D1,12,9.8,top,270
D2,23.4,12.6,top,0
D3,7.9,9.2,top,180
D4,8.8,30.1,top,90
D5,67.2,29.9,top,270
D6,65.080001,29.9,top,270
D7,62.98,29.875,top,270
D8,60.9,29.875,top,270
D9,11.275,14.3,top,180
FB1,19,12.5,top,0
J1,10.7,4.4,top,0
J2,13.05,29.625,top,0
J3,4.075,13.55,top,90
J4,29.625,15.325,top,90
J5,71.56,24.26,top,0
J6,54.54,4.06,top,90
Q1,31.025,2.2,top,0
Q10,54,30.8,top,180
Q2,27.025,2.2,top,0
Q3,35.025,2.2,top,0
Q4,39.0625,2.2,top,0
Q5,43.0625,2.2,top,0
Q6,33.435,30.75,top,180
Q7,38.625,30.75,top,180
Q8,43.7625,30.75,top,180
Q9,48.9625,30.75,top,180
R1,30.935,31.45,top,90
R10,60.9,27.6,top,0
R11,9,14.31,top,90
R12,20.4,22,top,180
R2,36.025,31.3,top,90
R3,41.1625,31.3,top,90
R4,46.3625,31.3,top,90
R5,51.5,31.3,top,90
R6,29.6,31.4,top,90
R7,67.2,27.6,top,0
R8,65.1,27.6,top,0
R9,62.99,27.6,top,0
U1,56.120109,16.066555,top,315
U2,22.1625,9.65,top,180
U3,15.475,20.19,top,0
